fitness,player_life,enemy_life,time,group,repetition,enemy,gain
21.260207087820767,0,70.0,2689,1729458231-11588-best_individual,0,1,-70.0
21.260207087820767,0,70.0,2689,1729458231-11588-best_individual,1,1,-70.0
21.260207087820767,0,70.0,2689,1729458231-11588-best_individual,2,1,-70.0
21.260207087820767,0,70.0,2689,1729458231-11588-best_individual,3,1,-70.0
21.260207087820767,0,70.0,2689,1729458231-11588-best_individual,4,1,-70.0
90.84704041507838,64,0,2742,1729458231-11588-best_individual,0,2,64
90.84704041507838,64,0,2742,1729458231-11588-best_individual,1,2,64
90.84704041507838,64,0,2742,1729458231-11588-best_individual,2,2,64
90.84704041507838,64,0,2742,1729458231-11588-best_individual,3,2,64
90.84704041507838,64,0,2742,1729458231-11588-best_individual,4,2,64
85.01003982910274,8,0,2673,1729458231-11588-best_individual,0,3,8
85.01003982910274,8,0,2673,1729458231-11588-best_individual,1,3,8
85.01003982910274,8,0,2673,1729458231-11588-best_individual,2,3,8
85.01003982910274,8,0,2673,1729458231-11588-best_individual,3,3,8
85.01003982910274,8,0,2673,1729458231-11588-best_individual,4,3,8
3.282972298593778,0,90.0,2696,1729458231-11588-best_individual,0,4,-90.0
3.282972298593778,0,90.0,2696,1729458231-11588-best_individual,1,4,-90.0
3.282972298593778,0,90.0,2696,1729458231-11588-best_individual,2,4,-90.0
3.282972298593778,0,90.0,2696,1729458231-11588-best_individual,3,4,-90.0
3.282972298593778,0,90.0,2696,1729458231-11588-best_individual,4,4,-90.0
90.80901301948917,64.00000000000034,0,2732,1729458231-11588-best_individual,0,5,64.00000000000034
90.80901301948917,64.00000000000034,0,2732,1729458231-11588-best_individual,1,5,64.00000000000034
90.80901301948917,64.00000000000034,0,2732,1729458231-11588-best_individual,2,5,64.00000000000034
90.80901301948917,64.00000000000034,0,2732,1729458231-11588-best_individual,3,5,64.00000000000034
90.80901301948917,64.00000000000034,0,2732,1729458231-11588-best_individual,4,5,64.00000000000034
30.458736454841574,0,60.0,2745,1729458231-11588-best_individual,0,6,-60.0
30.458736454841574,0,60.0,2745,1729458231-11588-best_individual,1,6,-60.0
30.458736454841574,0,60.0,2745,1729458231-11588-best_individual,2,6,-60.0
30.458736454841574,0,60.0,2745,1729458231-11588-best_individual,3,6,-60.0
30.458736454841574,0,60.0,2745,1729458231-11588-best_individual,4,6,-60.0
85.71289246928255,10.60000000000023,0,2790,1729458231-11588-best_individual,0,7,10.60000000000023
85.71289246928255,10.60000000000023,0,2790,1729458231-11588-best_individual,1,7,10.60000000000023
85.71289246928255,10.60000000000023,0,2790,1729458231-11588-best_individual,2,7,10.60000000000023
85.71289246928255,10.60000000000023,0,2790,1729458231-11588-best_individual,3,7,10.60000000000023
85.71289246928255,10.60000000000023,0,2790,1729458231-11588-best_individual,4,7,10.60000000000023
84.4062138960981,5.800000000000233,0,2520,1729458231-11588-best_individual,0,8,5.800000000000233
84.4062138960981,5.800000000000233,0,2520,1729458231-11588-best_individual,1,8,5.800000000000233
84.4062138960981,5.800000000000233,0,2520,1729458231-11588-best_individual,2,8,5.800000000000233
84.4062138960981,5.800000000000233,0,2520,1729458231-11588-best_individual,3,8,5.800000000000233
84.4062138960981,5.800000000000233,0,2520,1729458231-11588-best_individual,4,8,5.800000000000233
21.269900217026425,0,70.0,2692,1729458250-5956-best_individual,0,1,-70.0
21.269900217026425,0,70.0,2692,1729458250-5956-best_individual,1,1,-70.0
21.269900217026425,0,70.0,2692,1729458250-5956-best_individual,2,1,-70.0
21.269900217026425,0,70.0,2692,1729458250-5956-best_individual,3,1,-70.0
21.269900217026425,0,70.0,2692,1729458250-5956-best_individual,4,1,-70.0
91.49061166337202,70,0,2753,1729458250-5956-best_individual,0,2,70
91.49061166337202,70,0,2753,1729458250-5956-best_individual,1,2,70
91.49061166337202,70,0,2753,1729458250-5956-best_individual,2,2,70
91.49061166337202,70,0,2753,1729458250-5956-best_individual,3,2,70
91.49061166337202,70,0,2753,1729458250-5956-best_individual,4,2,70
85.61858578874552,16,0,2604,1729458250-5956-best_individual,0,3,16
85.61858578874552,16,0,2604,1729458250-5956-best_individual,1,3,16
85.61858578874552,16,0,2604,1729458250-5956-best_individual,2,3,16
85.61858578874552,16,0,2604,1729458250-5956-best_individual,3,3,16
85.61858578874552,16,0,2604,1729458250-5956-best_individual,4,3,16
21.179917069647637,0,70.0,2663,1729458250-5956-best_individual,0,4,-70.0
21.179917069647637,0,70.0,2663,1729458250-5956-best_individual,1,4,-70.0
21.179917069647637,0,70.0,2663,1729458250-5956-best_individual,2,4,-70.0
21.179917069647637,0,70.0,2663,1729458250-5956-best_individual,3,4,-70.0
21.179917069647637,0,70.0,2663,1729458250-5956-best_individual,4,4,-70.0
90.86901301948917,64.60000000000034,0,2732,1729458250-5956-best_individual,0,5,64.60000000000034
90.86901301948917,64.60000000000034,0,2732,1729458250-5956-best_individual,1,5,64.60000000000034
90.86901301948917,64.60000000000034,0,2732,1729458250-5956-best_individual,2,5,64.60000000000034
