,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
0,1,1729457856-95269-best_individual,5.0,-65.1999999999992,19.3500000000001,27.5,275.125,7,1729457863-95275-best_individual,4.0,65.40000000000065,33.17500000000008,25.0,367.875
1,8,1729457856-95268-best_individual,4.0,19.200000000000216,38.65000000000003,36.25,251.75,5,1729457851-95273-best_individual,4.0,34.600000000000335,38.07500000000004,33.75,283.125
2,5,1729457851-95273-best_individual,4.0,34.600000000000335,38.07500000000004,33.75,283.125,8,1729457856-95268-best_individual,4.0,19.200000000000216,38.65000000000003,36.25,251.75
3,7,1729457863-95275-best_individual,4.0,65.40000000000065,33.17500000000008,25.0,367.875,4,1729457799-95270-best_individual,4.0,-7.399999999999665,31.57500000000004,32.5,340.0
4,6,1729457864-95267-best_individual,4.0,-43.799999999999585,32.02500000000005,37.5,317.625,6,1729457864-95267-best_individual,4.0,-43.799999999999585,32.02500000000005,37.5,317.625
5,4,1729457799-95270-best_individual,4.0,-7.399999999999665,31.57500000000004,32.5,340.0,3,1729457843-95271-best_individual,4.0,-62.1999999999994,20.975000000000072,28.75,286.0
6,3,1729457843-95271-best_individual,4.0,-62.1999999999994,20.975000000000072,28.75,286.0,1,1729457856-95269-best_individual,5.0,-65.1999999999992,19.3500000000001,27.5,275.125
7,0,1729457780-95272-best_individual,3.0,-139.99999999999972,20.000000000000036,37.5,271.25,9,1729457777-95276-best_individual,3.0,-127.39999999999966,17.825000000000042,33.75,270.875
8,9,1729457777-95276-best_individual,3.0,-127.39999999999966,17.825000000000042,33.75,270.875,0,1729457780-95272-best_individual,3.0,-139.99999999999972,20.000000000000036,37.5,271.25
9,2,1729457781-95274-best_individual,2.0,-217.9999999999997,15.250000000000037,42.5,321.0,2,1729457781-95274-best_individual,2.0,-217.9999999999997,15.250000000000037,42.5,321.0
