,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
0,6,1729458290-5524-best_individual,5.0,-59.799999999999194,20.0250000000001,27.5,283.875,8,1729458255-7224-best_individual,4.0,36.60000000000042,37.07500000000005,32.5,272.875
1,0,1729458231-11588-best_individual,5.0,-67.5999999999992,19.0500000000001,27.5,301.625,6,1729458290-5524-best_individual,5.0,-59.799999999999194,20.0250000000001,27.5,283.875
2,8,1729458255-7224-best_individual,4.0,36.60000000000042,37.07500000000005,32.5,272.875,0,1729458231-11588-best_individual,5.0,-67.5999999999992,19.0500000000001,27.5,301.625
3,2,1729458250-5956-best_individual,4.0,-89.79999999999947,28.77500000000007,40.0,262.25,4,1729458254-2560-best_individual,4.0,-71.9999999999994,22.250000000000078,31.25,274.875
4,4,1729458254-2560-best_individual,4.0,-71.9999999999994,22.250000000000078,31.25,274.875,3,1729458279-20908-best_individual,3.0,-85.59999999999968,28.05000000000004,38.75,273.5
5,3,1729458279-20908-best_individual,3.0,-85.59999999999968,28.05000000000004,38.75,273.5,2,1729458250-5956-best_individual,4.0,-89.79999999999947,28.77500000000007,40.0,262.25
6,5,1729458276-14544-best_individual,3.0,-105.39999999999966,23.075000000000042,36.25,285.25,5,1729458276-14544-best_individual,3.0,-105.39999999999966,23.075000000000042,36.25,285.25
7,7,1729458251-12032-best_individual,3.0,-138.79999999999967,22.65000000000004,40.0,273.25,9,1729458270-13900-best_individual,3.0,-116.39999999999966,17.950000000000042,32.5,277.25
8,9,1729458270-13900-best_individual,3.0,-116.39999999999966,17.950000000000042,32.5,277.25,7,1729458251-12032-best_individual,3.0,-138.79999999999967,22.65000000000004,40.0,273.25
9,1,1729458274-6128-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,265.0,1,1729458274-6128-best_individual,2.0,-225.3999999999997,16.825000000000042,45.0,265.0
