fitness,player_life,enemy_life,time,group,repetition,enemy,gain
21.269900217026425,0,70.0,2692,1729339432-25372-best_individual,0,1,-70.0
21.269900217026425,0,70.0,2692,1729339432-25372-best_individual,1,1,-70.0
21.269900217026425,0,70.0,2692,1729339432-25372-best_individual,2,1,-70.0
21.269900217026425,0,70.0,2692,1729339432-25372-best_individual,3,1,-70.0
21.269900217026425,0,70.0,2692,1729339432-25372-best_individual,4,1,-70.0
92.44704041507838,80,0,2742,1729339432-25372-best_individual,0,2,80
92.44704041507838,80,0,2742,1729339432-25372-best_individual,1,2,80
92.44704041507838,80,0,2742,1729339432-25372-best_individual,2,2,80
92.44704041507838,80,0,2742,1729339432-25372-best_individual,3,2,80
92.44704041507838,80,0,2742,1729339432-25372-best_individual,4,2,80
12.575049982518596,0,80.0,2773,1729339432-25372-best_individual,0,3,-80.0
12.575049982518596,0,80.0,2773,1729339432-25372-best_individual,1,3,-80.0
12.575049982518596,0,80.0,2773,1729339432-25372-best_individual,2,3,-80.0
12.575049982518596,0,80.0,2773,1729339432-25372-best_individual,3,3,-80.0
12.575049982518596,0,80.0,2773,1729339432-25372-best_individual,4,3,-80.0
21.3062678611973,0,70.0,2703,1729339432-25372-best_individual,0,4,-70.0
21.3062678611973,0,70.0,2703,1729339432-25372-best_individual,1,4,-70.0
21.3062678611973,0,70.0,2703,1729339432-25372-best_individual,2,4,-70.0
21.3062678611973,0,70.0,2703,1729339432-25372-best_individual,3,4,-70.0
21.3062678611973,0,70.0,2703,1729339432-25372-best_individual,4,4,-70.0
91.51106227384334,70.00000000000028,0,2758,1729339432-25372-best_individual,0,5,70.00000000000028
91.51106227384334,70.00000000000028,0,2758,1729339432-25372-best_individual,1,5,70.00000000000028
91.51106227384334,70.00000000000028,0,2758,1729339432-25372-best_individual,2,5,70.00000000000028
91.51106227384334,70.00000000000028,0,2758,1729339432-25372-best_individual,3,5,70.00000000000028
91.51106227384334,70.00000000000028,0,2758,1729339432-25372-best_individual,4,5,70.00000000000028
21.906249799193237,0,70.0,2837,1729339432-25372-best_individual,0,6,-70.0
21.906249799193237,0,70.0,2837,1729339432-25372-best_individual,1,6,-70.0
21.906249799193237,0,70.0,2837,1729339432-25372-best_individual,2,6,-70.0
21.906249799193237,0,70.0,2837,1729339432-25372-best_individual,3,6,-70.0
21.906249799193237,0,70.0,2837,1729339432-25372-best_individual,4,6,-70.0
94.08936470590375,91.00000000000009,0,2850,1729339432-25372-best_individual,0,7,91.00000000000009
94.08936470590375,91.00000000000009,0,2850,1729339432-25372-best_individual,1,7,91.00000000000009
94.08936470590375,91.00000000000009,0,2850,1729339432-25372-best_individual,2,7,91.00000000000009
94.08936470590375,91.00000000000009,0,2850,1729339432-25372-best_individual,3,7,91.00000000000009
94.08936470590375,91.00000000000009,0,2850,1729339432-25372-best_individual,4,7,91.00000000000009
21.561920691076804,0,70.0,2770,1729339432-25372-best_individual,0,8,-70.0
21.561920691076804,0,70.0,2770,1729339432-25372-best_individual,1,8,-70.0
21.561920691076804,0,70.0,2770,1729339432-25372-best_individual,2,8,-70.0
21.561920691076804,0,70.0,2770,1729339432-25372-best_individual,3,8,-70.0
21.561920691076804,0,70.0,2770,1729339432-25372-best_individual,4,8,-70.0
